Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,B1
2019/9/13,0.008,-0.006,-0.006,-0.002,0.011,0.005,-0.001,-0.007,0.008,0.001,-0.001
2019/9/16,-0.004,0.001,-0.01,-0.013,-0.016,-0.001,-0.002,-0.002,0.034,-0.002,-0.003
2019/9/17,0.001,0.009,0.005,0.006,0.008,-0.001,0.002,0.004,-0.014,0.002,0.003
2019/9/18,0.004,0.004,0.002,0,0.001,-0.002,0,0,-0.005,0,0.001
2019/9/19,-0.005,0.005,0,-0.003,0.002,-0.005,0.005,0.002,-0.003,0,0
2019/9/20,-0.006,0.004,-0.003,-0.011,-0.002,-0.006,0.006,-0.012,0.001,-0.003,-0.005
2019/9/23,0.002,0,0.004,0.003,-0.002,-0.002,-0.005,0.003,0,0,0
2019/9/24,-0.01,0.012,0.004,-0.011,-0.009,-0.006,-0.009,-0.01,-0.016,-0.006,-0.008
2019/9/25,0.008,-0.001,0.001,0.009,0.005,0.006,-0.005,0.012,0.002,0.004,0.006
2019/9/26,-0.005,0.005,0.006,-0.004,-0.002,0.001,-0.006,0.001,-0.013,-0.002,-0.002
2019/9/27,0.004,-0.004,-0.001,-0.003,-0.003,-0.004,-0.004,-0.013,0,-0.003,-0.005
2019/9/30,-0.002,0.001,0.005,0.009,0.008,0.001,0.009,0.011,-0.007,0.004,0.005
2019/10/1,-0.021,-0.002,-0.003,-0.008,-0.024,-0.024,-0.01,-0.009,-0.023,-0.014,-0.012
2019/10/2,-0.02,-0.013,-0.02,-0.018,-0.018,-0.019,-0.015,-0.019,-0.025,-0.019,-0.018
2019/10/3,0.004,0.002,0.007,0.005,0.004,0.007,0.009,0.012,0.011,0.007,0.008
2019/10/4,0.019,0.014,0.016,0.009,0.005,0.01,0.016,0.017,0.006,0.012,0.014
2019/10/7,-0.005,-0.004,-0.008,-0.004,-0.004,-0.005,-0.003,-0.004,-0.009,-0.005,-0.004
2019/10/8,-0.02,-0.009,-0.01,-0.011,-0.017,-0.015,-0.019,-0.018,-0.017,-0.015,-0.016
2019/10/9,0.009,0.005,0.008,0.009,0.011,0.009,0.007,0.015,0.009,0.009,0.009
2019/10/10,0.01,-0.001,0.002,0.007,0.009,0.009,0.005,0.007,0.013,0.007,0.007
2019/10/11,0.012,-0.004,-0.001,0.011,0.019,0.019,0.008,0.014,0.013,0.01,0.01
2019/10/14,0.001,-0.006,-0.005,0,-0.007,-0.002,0,-0.001,-0.001,-0.002,-0.001
2019/10/15,0.014,-0.003,-0.004,0.009,0.007,0.008,0.018,0.011,0.004,0.007,0.01
2019/10/16,-0.002,0.002,0.001,0.004,0.002,-0.001,-0.001,-0.007,-0.014,-0.002,-0.002
2019/10/17,0.001,0.003,0.005,0.003,0.003,0.005,0.007,-0.002,0.001,0.003,0.003
2019/10/18,0.002,0.003,0.002,-0.002,-0.002,-0.009,-0.004,-0.01,-0.005,-0.003,-0.004
2019/10/21,0.014,0.004,0.003,0.004,-0.003,0.006,-0.001,0.011,0.018,0.006,0.007
2019/10/22,-0.003,0.004,0,-0.006,-0.004,0.008,0.002,-0.013,0.013,0,-0.003
2019/10/23,0.004,0.004,0.005,-0.005,0.006,0,0.006,0.001,0.008,0.003,0.003
2019/10/24,-0.001,0.003,0.003,0,0.003,0.001,-0.005,0.015,-0.004,0.002,0.002
2019/10/25,0.005,-0.01,-0.006,-0.001,0.011,0.006,0.001,0.012,0.008,0.003,0.004
2019/10/28,0.005,-0.014,-0.002,0.003,0.003,0.003,0.01,0.013,-0.006,0.002,0.006
2019/10/29,0.002,0.001,0,-0.006,0.006,0.003,0.014,-0.009,0.004,0.002,0
2019/10/30,-0.001,0.009,0.005,0.006,0.001,0.004,0.006,0.006,-0.02,0.002,0.003
2019/10/31,-0.005,0.005,-0.001,-0.005,-0.011,-0.011,-0.001,-0.001,-0.004,-0.004,-0.003
2019/11/1,0.015,-0.002,0,0.007,0.014,0.022,0.001,0.012,0.023,0.01,0.009
2019/11/4,0.009,-0.013,-0.01,0,0.008,0.012,-0.003,0.005,0.033,0.005,0.004
2019/11/5,0.004,-0.01,0.003,0.001,0.002,0.002,-0.007,-0.001,0.001,-0.001,-0.001
2019/11/6,0.005,0.004,0.004,0.001,-0.001,0.001,0.003,0,-0.02,0,0
2019/11/7,0.007,-0.014,-0.003,-0.006,0.007,0.003,0.002,0.008,0.015,0.002,0.004
2019/11/8,0,-0.004,-0.001,0,0.004,0.001,0.007,0.006,-0.004,0.001,0.002
2019/11/11,-0.003,-0.006,-0.001,-0.002,-0.001,0,-0.004,0,-0.006,-0.003,-0.002
2019/11/12,0.001,0.002,0.003,-0.001,0.005,0,0.006,0.003,-0.005,0.002,0.002
2019/11/13,-0.006,0.015,0.008,-0.003,-0.006,-0.004,0.001,0.002,-0.004,0,0
2019/11/14,0.002,0.004,0,0.004,0.006,0.003,0,-0.001,-0.003,0.002,0.001
2019/11/15,0.003,0.003,0,0.002,-0.001,0.007,0.021,0.008,0.008,0.006,0.007
2019/11/18,0.002,0.002,0.005,0.003,-0.002,-0.004,-0.003,0.003,-0.012,-0.001,0.001
2019/11/19,0.002,-0.003,-0.001,-0.011,-0.002,-0.001,0.007,0.002,-0.015,-0.002,0
2019/11/20,-0.005,0.006,0.002,-0.002,-0.012,-0.008,-0.001,-0.006,0.01,-0.002,-0.004
2019/11/21,-0.001,-0.003,-0.005,-0.006,-0.002,0,0.003,-0.005,0.016,0,-0.002
2019/11/22,0.007,0,-0.002,0.007,0.002,0.005,0.004,-0.001,-0.003,0.002,0.002
2019/11/25,0.006,-0.003,0.001,0.009,0.007,0.007,0.012,0.015,0.001,0.006,0.008
2019/11/26,-0.001,0.003,0.008,0.007,0.005,0.003,-0.001,0.001,-0.009,0.002,0.002
2019/11/27,0.004,0.002,0.002,0.009,0.004,-0.001,0.005,0.006,0.003,0.004,0.004
2019/11/29,-0.002,-0.001,0,-0.006,-0.004,-0.005,-0.004,-0.003,-0.01,-0.004,-0.004
2019/12/2,-0.006,-0.007,0.002,-0.008,-0.01,-0.016,-0.004,-0.014,0,-0.007,-0.008
2019/12/3,-0.014,0.003,-0.002,-0.01,-0.006,-0.011,-0.002,-0.009,-0.015,-0.007,-0.007
2019/12/4,0.009,0.008,0.007,0.006,0.002,0.004,0.009,0.004,0.015,0.007,0.006
2019/12/5,0.005,0.002,0,-0.001,0.005,0,0,0.004,-0.005,0.001,0.002
2019/12/6,0.013,-0.003,0.004,0.008,0.01,0.012,0.007,0.011,0.019,0.009,0.009
2019/12/9,-0.002,-0.003,0.001,0.001,-0.002,-0.004,-0.007,-0.005,-0.001,-0.003,-0.003
2019/12/10,0,0,-0.003,-0.002,-0.006,-0.001,0.002,0.001,0.002,-0.001,-0.001
2019/12/11,-0.002,0.003,0.001,0.003,0.008,0.006,0.001,0.007,-0.002,0.003,0.003
2019/12/12,0.02,-0.004,-0.001,0.009,0.014,0.009,0.009,0.011,0.018,0.009,0.009
2019/12/13,-0.004,0.008,0.004,0.001,-0.008,-0.003,-0.001,0.007,-0.008,0,0.001
2019/12/16,0.004,0.012,0.004,0.004,0.004,0,0.011,0.009,0.013,0.007,0.007
2019/12/17,0.004,0.003,-0.002,0.004,0.001,-0.001,-0.001,-0.002,0.001,0.001,0
2019/12/18,-0.004,0.004,-0.002,0.001,-0.001,-0.004,0.001,0,0.004,0,0
2019/12/19,0,0,0.005,0.003,0.003,0.003,0.004,0.007,0,0.003,0.004
2019/12/20,0.001,0.007,0.008,0.002,0.005,0.005,0.007,0.006,0.01,0.005,0.004
2019/12/23,-0.002,-0.009,-0.004,-0.002,0.003,0.008,0.004,0.003,0.01,0.001,0.002
2019/12/24,0.002,0.001,0.001,0.002,0.001,-0.004,-0.001,0,0,0,0
2019/12/26,0.006,0.002,0.001,0.012,0.004,0.002,-0.001,0.007,0,0.004,0.005
2019/12/27,-0.003,0.003,0.004,0,-0.004,-0.001,0,0,-0.004,0,0
2019/12/30,-0.003,0,-0.005,-0.006,-0.003,-0.005,-0.006,-0.006,-0.003,-0.004,-0.006
2019/12/31,0.003,0.004,0.001,0.001,0.007,-0.001,0.002,0.003,0.006,0.003,0.002
2020/1/2,0.01,-0.013,-0.008,0.012,-0.012,0.019,0.003,0.019,0.009,0.004,0.009
2020/1/3,-0.011,0.002,-0.002,-0.009,-0.016,-0.002,-0.009,-0.011,-0.003,-0.007,-0.008
2020/1/6,-0.001,0.001,0.002,0.003,-0.004,0,0.006,0.002,0.008,0.002,0.004
2020/1/7,-0.007,-0.001,-0.008,-0.002,-0.001,-0.002,-0.002,0,-0.003,-0.003,-0.003
2020/1/8,0.007,0,0.004,0.003,0.004,0.003,0.006,0.011,-0.016,0.002,0.005
2020/1/9,0.006,0.005,0.007,0.005,0.004,0.004,0.004,0.011,0.007,0.006,0.007
2020/1/10,-0.007,0.003,-0.001,-0.005,-0.004,-0.007,0,-0.002,-0.006,-0.003,-0.003
2020/1/13,0.007,0.006,0.007,0.003,0.013,0.008,-0.004,0.013,0,0.006,0.007
2020/1/14,-0.002,0.003,0,0,-0.004,0,0.006,-0.005,0,0,-0.002
2020/1/15,-0.006,0.014,0.007,-0.002,0.007,0.002,0.009,0.001,-0.007,0.003,0.002
2020/1/16,0.009,0.006,0.003,0.009,0.006,0.01,0.005,0.013,0.002,0.007,0.008
2020/1/17,0.003,0.007,0.002,0.004,0.004,0,0,0.007,-0.006,0.002,0.003
2020/1/21,-0.008,0.009,0.003,-0.003,-0.011,-0.011,0.001,0,-0.018,-0.004,-0.002
2020/1/22,0.003,0.003,0.001,0,-0.004,-0.005,0.001,0.004,-0.01,-0.001,0
2020/1/23,-0.003,0.009,-0.001,0.001,-0.001,0.011,-0.005,0.005,-0.004,0.001,0.001
2020/1/24,-0.013,0.003,-0.007,-0.014,-0.007,-0.005,-0.017,-0.005,-0.012,-0.008,-0.009
2020/1/27,-0.015,-0.002,-0.003,-0.015,-0.022,-0.019,-0.008,-0.024,-0.028,-0.015,-0.016
2020/1/28,0.012,0.004,0.001,0.01,0.011,0.006,0.005,0.019,0.005,0.008,0.01
2020/1/29,-0.002,0.003,-0.005,-0.001,0.003,0.005,-0.003,0.003,-0.01,-0.001,-0.001
2020/1/30,0.013,0.009,0.012,-0.002,-0.006,0.001,-0.007,0.009,0.008,0.004,0.003
2020/1/31,-0.021,-0.004,-0.011,0.003,-0.022,-0.023,-0.02,-0.027,-0.031,-0.018,-0.018
2020/2/3,0.007,0.003,0,0.007,0.021,0,0.009,0.013,-0.013,0.005,0.007
2020/2/4,0.01,-0.01,0.006,0.018,0.018,0.019,0.018,0.026,0.004,0.012,0.015
2020/2/5,0.02,0.004,0.008,0.005,0.019,0.017,0.019,0.006,0.038,0.015,0.012
2020/2/6,-0.001,0,0.002,-0.002,0,0.003,0.001,0.009,-0.01,0,0.003
2020/2/7,-0.004,-0.003,0.001,-0.004,-0.014,-0.007,-0.008,-0.009,-0.007,-0.006,-0.005
2020/2/10,0.003,0.004,0.004,0.011,0,0.006,0.005,0.014,-0.005,0.005,0.007
2020/2/11,0.004,0.004,-0.004,0.008,0.005,0.004,0.006,-0.003,0.011,0.004,0.002
2020/2/12,0.001,0.001,0,0.01,0.005,0.009,0.001,0.011,0.013,0.006,0.006
2020/2/13,0,0.011,0.006,-0.002,-0.004,-0.006,-0.005,-0.003,-0.003,-0.001,-0.001
2020/2/14,0.001,0.007,0.002,-0.002,0,-0.001,0.001,0.004,-0.005,0.001,0.002
2020/2/18,-0.009,0.008,-0.004,0,-0.002,-0.006,-0.004,-0.004,-0.008,-0.003,-0.003
2020/2/19,0.007,-0.011,-0.001,0.004,0.003,0,0.005,0.012,0.013,0.004,0.005
2020/2/20,-0.002,0.004,0.001,0,0.002,-0.001,-0.006,-0.01,-0.001,-0.002,-0.004
2020/2/21,-0.01,-0.002,0.002,-0.015,-0.005,-0.005,0.001,-0.022,-0.012,-0.008,-0.01
2020/2/24,-0.032,-0.012,-0.023,-0.034,-0.028,-0.028,-0.032,-0.041,-0.046,-0.031,-0.033
2020/2/25,-0.034,-0.021,-0.018,-0.027,-0.043,-0.041,-0.03,-0.032,-0.044,-0.032,-0.03
2020/2/26,-0.007,-0.01,-0.006,-0.008,-0.003,-0.008,0,0.005,-0.03,-0.008,-0.004
2020/2/27,-0.043,-0.045,-0.041,-0.04,-0.047,-0.037,-0.034,-0.054,-0.053,-0.044,-0.045
2020/2/28,-0.027,-0.033,-0.02,-0.006,-0.011,-0.018,-0.013,0.008,-0.001,-0.014,-0.004
2020/3/2,0.051,0.059,0.053,0.034,0.043,0.035,0.047,0.058,0.04,0.047,0.043
2020/3/3,-0.038,-0.012,-0.014,-0.024,-0.009,-0.024,-0.025,-0.038,-0.031,-0.024,-0.029
2020/3/4,0.033,0.057,0.049,0.035,0.041,0.041,0.058,0.043,0.024,0.042,0.042
2020/3/5,-0.048,-0.015,-0.019,-0.037,-0.032,-0.049,-0.023,-0.032,-0.037,-0.032,-0.033
2020/3/6,-0.034,-0.008,-0.008,-0.015,-0.026,-0.009,-0.005,-0.021,-0.056,-0.02,-0.017
2020/3/9,-0.107,-0.054,-0.044,-0.063,-0.094,-0.092,-0.052,-0.076,-0.201,-0.087,-0.078
2020/3/10,0.059,0.009,0.029,0.055,0.041,0.052,0.034,0.067,0.047,0.044,0.052
2020/3/11,-0.054,-0.05,-0.049,-0.055,-0.048,-0.059,-0.038,-0.047,-0.053,-0.05,-0.049
2020/3/12,-0.108,-0.101,-0.094,-0.101,-0.096,-0.104,-0.075,-0.098,-0.125,-0.1,-0.096
2020/3/13,0.132,0.054,0.085,0.062,0.07,0.078,0.069,0.117,0.092,0.084,0.085
2020/3/16,-0.137,-0.114,-0.068,-0.127,-0.11,-0.113,-0.099,-0.138,-0.136,-0.116,-0.109
2020/3/17,0.054,0.128,0.084,0.039,0.062,0.046,0.063,0.068,0.007,0.061,0.054
2020/3/18,-0.085,-0.044,-0.026,-0.057,-0.064,-0.074,-0.033,-0.038,-0.144,-0.063,-0.051
2020/3/19,0.022,-0.058,-0.033,0.035,0.026,0.001,-0.02,0.004,0.068,0.005,0.002
2020/3/20,-0.036,-0.079,-0.065,-0.03,-0.036,-0.05,-0.038,-0.046,0.01,-0.041,-0.043
2020/3/23,-0.058,-0.051,-0.03,0.002,-0.051,-0.044,-0.052,-0.009,-0.068,-0.04,-0.026
2020/3/24,0.124,0.108,0.051,0.094,0.118,0.127,0.077,0.102,0.16,0.107,0.091
2020/3/25,0.027,0.026,-0.003,0.018,0.023,0.053,0.013,-0.001,0.047,0.023,0.015
2020/3/26,0.063,0.085,0.055,0.041,0.047,0.063,0.066,0.062,0.061,0.06,0.058
2020/3/27,-0.03,0.005,-0.005,-0.034,-0.036,-0.042,-0.021,-0.045,-0.068,-0.031,-0.03
2020/3/30,0.019,0.037,0.039,0.021,0.032,0.015,0.047,0.042,0.01,0.029,0.032
2020/3/31,-0.028,-0.04,-0.02,-0.02,-0.014,-0.012,-0.004,-0.019,0.015,-0.016,-0.015
2020/4/1,-0.061,-0.06,-0.017,-0.045,-0.045,-0.045,-0.038,-0.048,-0.05,-0.045,-0.045
2020/4/2,0.025,0.031,0.026,0.004,0.015,0.013,0.028,0.023,0.092,0.029,0.023
2020/4/3,-0.02,-0.036,0.008,-0.017,-0.024,-0.013,-0.009,-0.015,-0.011,-0.015,-0.014
